Node,In_Degree,Out_Degree,Total_Degree,In_Degree_Centrality,Out_Degree_Centrality,Combined_DC
Millie Bobby Brown,7,16,23,0.30434782608695654,0.6956521739130435,0.5
Hailey Bieber,10,10,20,0.43478260869565216,0.43478260869565216,0.43478260869565216
Gigi Hadid,11,9,20,0.4782608695652174,0.3913043478260869,0.43478260869565216
Jennifer Lopez,7,12,19,0.30434782608695654,0.5217391304347826,0.41304347826086957
Gal Gadot,5,13,18,0.21739130434782608,0.5652173913043478,0.3913043478260869
Sophie Turner,5,13,18,0.21739130434782608,0.5652173913043478,0.3913043478260869
Kendall Jenner,9,8,17,0.3913043478260869,0.34782608695652173,0.3695652173913043
Kylie Jenner,10,7,17,0.43478260869565216,0.30434782608695654,0.3695652173913043
Zendaya,16,0,16,0.6956521739130435,0.0,0.34782608695652173
Bella Hadid,8,8,16,0.34782608695652173,0.34782608695652173,0.34782608695652173
Florence Pugh,7,8,15,0.30434782608695654,0.34782608695652173,0.32608695652173914
Tom Holland,2,13,15,0.08695652173913043,0.5652173913043478,0.32608695652173914
Kim Kardashian,10,5,15,0.43478260869565216,0.21739130434782608,0.32608695652173914
Emilia Clarke,8,7,15,0.34782608695652173,0.30434782608695654,0.32608695652173914
Ryan Reynolds,9,5,14,0.3913043478260869,0.21739130434782608,0.3043478260869565
Jason Momoa,4,9,13,0.17391304347826086,0.3913043478260869,0.2826086956521739
Priyanka Chopra,4,9,13,0.17391304347826086,0.3913043478260869,0.2826086956521739
Timothée Chalamet,12,0,12,0.5217391304347826,0.0,0.2608695652173913
Dwayne Johnson,10,1,11,0.43478260869565216,0.043478260869565216,0.2391304347826087
Kevin Hart,5,6,11,0.21739130434782608,0.2608695652173913,0.2391304347826087
Henry Cavill,4,7,11,0.17391304347826086,0.30434782608695654,0.2391304347826087
Selena Gomez,3,5,8,0.13043478260869565,0.21739130434782608,0.17391304347826086
Anya Taylor-Joy,3,4,7,0.13043478260869565,0.17391304347826086,0.15217391304347827
Robert Downey Jr.,6,0,6,0.2608695652173913,0.0,0.13043478260869565
